Объектные,Функциональные,Процессные,Ограничения,Структурные
Печь,,,"Cиловой трансф-ор с масляной изоляцией 6(10)/0,4 кВ с фланцевым вводом",
Площадка,,,"Cиловой трансф-ор с масляной изоляцией 20/6(10) кВ, 35/6(10) кВ",
Площадочные объекты,,,Cиловой трансф-ор с масляной изоляцией 110/35/6(10) кВ и 110/6(10) кВ,
Подстанция электрическая (ПС),,,,
Пожарное депо,,,,
Преобразователь частоты,,,,
Приемо-сдаточный пункт (ПСП),,,,
Программно-технический комплекс (ПТК),,,,
Прожектор,,,,
Промысловый трубопровод,,,,
Пункт автоматического регулирования напряжения,,,,
Пункт налива нефти,,,,
Пылеуловитель,,,,
Распределительное устройство (РУ),,,,
Реагентное хозяйство,,,,
Резервуар,,,,
Резервуар вертикальный стальной (РВС),,,,
Резервуар горизонтальный стальной (РГС),,,,
Резервуарный парк,,,,
Ресивер,,,,
Свеча рассеивания,,,,
Сепаратор,,,,
Скважина,,,,
Склад,,,,
"Склад метанола, ГСМ, химреагентов",,,,
Склад нефти и нефтепродуктов,,,,
Слесарная мастерская,,,,
Сливно-наливная эстакада нефтепродуктов,,,,
Сливно-наливная эстакада сжиженного газа,,,,
Сооружение,,,,
Станция охлаждения газа (СОГ),,,,
Стоянка автотранспорта,,,,
Сырьевой парк,,,,
Tеплоизоляционное покрытие,,,,
Теплообменное оборудование,,,,
Теплоэнергетическое оборудование,,,,
Термостабилизатор,,,,
Технологический трубопровод,,,,
Товарный парк,,,,
Трансформатор,,,,
Трансформаторная подстанция,,,,
Трубная продукция,,,,
Трубопровод,,,,
Узел входа шлейфа,,,,
Узел дросселирования,,,,
Узел запорной арматуры (УЗА),,,,
Узел коммерческого/технического учета тепловой энергии,,,,
Установка биологической очистки сточных вод,,,,
Установка водоподготовки,,,,
Установка дозирования химреагента (УДХ),,,,
Установка комплексной подготовки газа (УКПГ),,,,
Установка механической очистки сточных вод,,,,
Установка налива нефти и нефтепродуктов,,,,
Установка подготовки газа на собственные нужды,,,,
Установка подготовки нефти (УПН),,,,
Установка подготовки попутного нефтяного газа,,,,
"Установка подготовки технического воздуха, воздуха КИПиА",,,,
Установка подготовки топливного газа (УПТГ),,,,
Установка предварительного сброса воды (УПСВ),,,,
Установка предварительной подготовки газа (УППГ),,,,
Установка регенерации,,,,
Установка сероочистки,,,,
Установка слива,,,,
Установка стабилизации,,,,
Устьевое оборудование,,,,
Факельная установка,,,,
Холодильная установка,,,,
Центральный пункт управления (ЦПУ),,,,
Центробежный компрессор,,,,
Центробежный насос (ЦНС),,,,
Арматура запорная,,,,
Гидрант,,,,
Задвижка,,,,
Затвор,,,,
Кабель контрольный,,,,
Камера,,,,
Клапан,,,,
Клапан запорный стальной,,,,
Клапан предохранительный пружинный,,,,
Клапан регулирующий,,,,
Оборудование,,,,
Ограждение,,,,
Силовой кабель,,,,
Соединительная деталь трубопровода (СДТ),,,,
Фильтр,,,,
Шаровый резервуар,,,,
Шумоглушитель,,,,
Эжектор,,,,
Электродвигатель,,,,
Электродегидратор,,,,
Электростанция,,,,
Электростанция газотурбинная,,,,
Электростанция дизельная (ДЭС),,,,
Электротехническое оборудование,,,,
